starting consumer #0
starting producer #0
time: 1.000s, sent: 25409 msg/s, confirmed: 24409 msg/s, nacked: 0 msg/s, received: 24408 msg/s, min/avg/max latency: 1965/35200/41862 microseconds
time: 2.000s, sent: 26314 msg/s, confirmed: 26318 msg/s, nacked: 0 msg/s, received: 26311 msg/s, min/avg/max latency: 31394/38073/48613 microseconds
time: 3.000s, sent: 24818 msg/s, confirmed: 24814 msg/s, nacked: 0 msg/s, received: 24822 msg/s, min/avg/max latency: 32063/39954/58842 microseconds
time: 4.000s, sent: 26786 msg/s, confirmed: 26786 msg/s, nacked: 0 msg/s, received: 26785 msg/s, min/avg/max latency: 32495/37678/59161 microseconds
time: 5.000s, sent: 27311 msg/s, confirmed: 27311 msg/s, nacked: 0 msg/s, received: 27310 msg/s, min/avg/max latency: 31540/36614/43048 microseconds
time: 6.000s, sent: 26644 msg/s, confirmed: 26644 msg/s, nacked: 0 msg/s, received: 26637 msg/s, min/avg/max latency: 30825/37693/44649 microseconds
time: 7.000s, sent: 26674 msg/s, confirmed: 26674 msg/s, nacked: 0 msg/s, received: 26684 msg/s, min/avg/max latency: 31037/37474/50277 microseconds
time: 8.000s, sent: 26364 msg/s, confirmed: 26364 msg/s, nacked: 0 msg/s, received: 26360 msg/s, min/avg/max latency: 32316/37959/44598 microseconds
time: 9.000s, sent: 27400 msg/s, confirmed: 27401 msg/s, nacked: 0 msg/s, received: 27403 msg/s, min/avg/max latency: 32598/36608/42932 microseconds
time: 10.000s, sent: 27507 msg/s, confirmed: 27508 msg/s, nacked: 0 msg/s, received: 27502 msg/s, min/avg/max latency: 30639/36302/42570 microseconds
time: 11.000s, sent: 27040 msg/s, confirmed: 27043 msg/s, nacked: 0 msg/s, received: 27045 msg/s, min/avg/max latency: 32019/37038/43379 microseconds
time: 12.000s, sent: 27148 msg/s, confirmed: 27144 msg/s, nacked: 0 msg/s, received: 27148 msg/s, min/avg/max latency: 31752/36870/45557 microseconds
time: 13.000s, sent: 27110 msg/s, confirmed: 27110 msg/s, nacked: 0 msg/s, received: 27112 msg/s, min/avg/max latency: 32499/37035/42971 microseconds
time: 14.000s, sent: 26658 msg/s, confirmed: 26657 msg/s, nacked: 0 msg/s, received: 26656 msg/s, min/avg/max latency: 32532/37408/48396 microseconds
time: 15.000s, sent: 26787 msg/s, confirmed: 26788 msg/s, nacked: 0 msg/s, received: 26789 msg/s, min/avg/max latency: 32013/37459/45247 microseconds
time: 16.000s, sent: 26005 msg/s, confirmed: 26006 msg/s, nacked: 0 msg/s, received: 26003 msg/s, min/avg/max latency: 31986/38572/47224 microseconds
time: 17.000s, sent: 27078 msg/s, confirmed: 27077 msg/s, nacked: 0 msg/s, received: 27078 msg/s, min/avg/max latency: 32343/36892/42403 microseconds
time: 18.000s, sent: 27036 msg/s, confirmed: 27036 msg/s, nacked: 0 msg/s, received: 27035 msg/s, min/avg/max latency: 32464/36966/43470 microseconds
