starting consumer #0
starting consumer #1
starting consumer #2
starting consumer #3
starting consumer #4
starting producer #0
starting producer #1
starting producer #2
starting producer #3
starting producer #4
time: 1.187s, sent: 5644 msg/s, confirmed: 1432 msg/s, nacked: 0 msg/s, received: 16048 msg/s, min/avg/max latency: 3679/289828/722353 microseconds
time: 2.187s, sent: 5906 msg/s, confirmed: 5998 msg/s, nacked: 0 msg/s, received: 25441 msg/s, min/avg/max latency: 447695/721261/997009 microseconds
time: 3.187s, sent: 3318 msg/s, confirmed: 3226 msg/s, nacked: 0 msg/s, received: 20422 msg/s, min/avg/max latency: 328074/701140/1021889 microseconds
time: 4.187s, sent: 5500 msg/s, confirmed: 5846 msg/s, nacked: 0 msg/s, received: 26512 msg/s, min/avg/max latency: 422332/692819/1029678 microseconds
time: 5.187s, sent: 5211 msg/s, confirmed: 5077 msg/s, nacked: 0 msg/s, received: 23393 msg/s, min/avg/max latency: 441535/672777/973079 microseconds
time: 6.362s, sent: 3524 msg/s, confirmed: 3343 msg/s, nacked: 0 msg/s, received: 20904 msg/s, min/avg/max latency: 310452/666067/945968 microseconds
time: 7.362s, sent: 5974 msg/s, confirmed: 5974 msg/s, nacked: 0 msg/s, received: 24491 msg/s, min/avg/max latency: 453646/727461/963967 microseconds
time: 8.362s, sent: 4880 msg/s, confirmed: 5022 msg/s, nacked: 0 msg/s, received: 25997 msg/s, min/avg/max latency: 310142/690387/938051 microseconds
time: 9.570s, sent: 3399 msg/s, confirmed: 3281 msg/s, nacked: 0 msg/s, received: 20621 msg/s, min/avg/max latency: 462407/689351/989310 microseconds
time: 10.571s, sent: 4956 msg/s, confirmed: 4956 msg/s, nacked: 0 msg/s, received: 24767 msg/s, min/avg/max latency: 218132/667124/986191 microseconds
time: 11.571s, sent: 5848 msg/s, confirmed: 5850 msg/s, nacked: 0 msg/s, received: 24892 msg/s, min/avg/max latency: 225316/742763/997975 microseconds
time: 12.571s, sent: 4455 msg/s, confirmed: 4453 msg/s, nacked: 0 msg/s, received: 25842 msg/s, min/avg/max latency: 198618/659495/988835 microseconds
time: 13.580s, sent: 3815 msg/s, confirmed: 3815 msg/s, nacked: 0 msg/s, received: 20749 msg/s, min/avg/max latency: 183345/651022/880412 microseconds
time: 14.674s, sent: 5200 msg/s, confirmed: 5200 msg/s, nacked: 0 msg/s, received: 24579 msg/s, min/avg/max latency: 179776/664144/955031 microseconds
time: 15.674s, sent: 5885 msg/s, confirmed: 5962 msg/s, nacked: 0 msg/s, received: 26103 msg/s, min/avg/max latency: 424961/711635/978063 microseconds
time: 16.674s, sent: 5039 msg/s, confirmed: 4962 msg/s, nacked: 0 msg/s, received: 24146 msg/s, min/avg/max latency: 484108/689492/1022762 microseconds
time: 17.728s, sent: 3730 msg/s, confirmed: 3732 msg/s, nacked: 0 msg/s, received: 23732 msg/s, min/avg/max latency: 264591/688240/1018160 microseconds
time: 18.739s, sent: 4006 msg/s, confirmed: 4004 msg/s, nacked: 0 msg/s, received: 19780 msg/s, min/avg/max latency: 474447/687656/978008 microseconds
time: 19.739s, sent: 4889 msg/s, confirmed: 4889 msg/s, nacked: 0 msg/s, received: 23960 msg/s, min/avg/max latency: 307707/695700/1004717 microseconds
time: 20.739s, sent: 6047 msg/s, confirmed: 6054 msg/s, nacked: 0 msg/s, received: 26047 msg/s, min/avg/max latency: 479814/732725/988707 microseconds
time: 21.739s, sent: 4861 msg/s, confirmed: 4870 msg/s, nacked: 0 msg/s, received: 23315 msg/s, min/avg/max latency: 337309/700481/1074741 microseconds
time: 22.739s, sent: 4181 msg/s, confirmed: 4165 msg/s, nacked: 0 msg/s, received: 25228 msg/s, min/avg/max latency: 496165/710662/1032828 microseconds
time: 23.739s, sent: 4754 msg/s, confirmed: 4808 msg/s, nacked: 0 msg/s, received: 23609 msg/s, min/avg/max latency: 493743/744125/1017367 microseconds
time: 24.866s, sent: 3460 msg/s, confirmed: 3412 msg/s, nacked: 0 msg/s, received: 18072 msg/s, min/avg/max latency: 535058/742356/1043966 microseconds
