starting consumer #0
starting consumer #1
starting consumer #2
starting consumer #3
starting consumer #4
starting consumer #5
starting consumer #6
starting consumer #7
starting consumer #8
starting consumer #9
starting producer #0
starting producer #1
starting producer #2
starting producer #3
starting producer #4
starting producer #5
starting producer #6
starting producer #7
starting producer #8
starting producer #9
time: 1.000s, sent: 9688 msg/s, confirmed: 725 msg/s, nacked: 0 msg/s, received: 13225 msg/s, min/avg/max latency: 4054/240184/481404 microseconds
time: 2.005s, sent: 2751 msg/s, confirmed: 1838 msg/s, nacked: 0 msg/s, received: 24651 msg/s, min/avg/max latency: 468163/968740/1381288 microseconds
time: 3.005s, sent: 2973 msg/s, confirmed: 2897 msg/s, nacked: 0 msg/s, received: 25479 msg/s, min/avg/max latency: 1432914/1926503/2443437 microseconds
time: 4.082s, sent: 1996 msg/s, confirmed: 1955 msg/s, nacked: 0 msg/s, received: 22184 msg/s, min/avg/max latency: 2052749/2705774/3201990 microseconds
time: 5.082s, sent: 2413 msg/s, confirmed: 2413 msg/s, nacked: 0 msg/s, received: 26201 msg/s, min/avg/max latency: 2497187/3384507/4170504 microseconds
time: 6.082s, sent: 3121 msg/s, confirmed: 3124 msg/s, nacked: 0 msg/s, received: 26560 msg/s, min/avg/max latency: 2252645/3438903/4251508 microseconds
time: 7.082s, sent: 2139 msg/s, confirmed: 2136 msg/s, nacked: 0 msg/s, received: 29816 msg/s, min/avg/max latency: 2548019/3487084/4019668 microseconds
time: 8.082s, sent: 3266 msg/s, confirmed: 3294 msg/s, nacked: 0 msg/s, received: 22559 msg/s, min/avg/max latency: 2358790/3414749/3984458 microseconds
time: 9.082s, sent: 1991 msg/s, confirmed: 1963 msg/s, nacked: 0 msg/s, received: 29465 msg/s, min/avg/max latency: 2418065/3306800/3848628 microseconds
time: 10.136s, sent: 2222 msg/s, confirmed: 2222 msg/s, nacked: 0 msg/s, received: 24743 msg/s, min/avg/max latency: 2359450/3149134/3862674 microseconds
time: 11.136s, sent: 2972 msg/s, confirmed: 2972 msg/s, nacked: 0 msg/s, received: 28713 msg/s, min/avg/max latency: 2518731/3206585/3812014 microseconds
time: 12.168s, sent: 2303 msg/s, confirmed: 2303 msg/s, nacked: 0 msg/s, received: 28017 msg/s, min/avg/max latency: 2234896/3125847/3751721 microseconds
time: 13.168s, sent: 3574 msg/s, confirmed: 3574 msg/s, nacked: 0 msg/s, received: 30137 msg/s, min/avg/max latency: 2110684/3011251/3736278 microseconds
time: 14.193s, sent: 2358 msg/s, confirmed: 2358 msg/s, nacked: 0 msg/s, received: 26629 msg/s, min/avg/max latency: 2101760/2768819/3627568 microseconds
time: 15.193s, sent: 3646 msg/s, confirmed: 3646 msg/s, nacked: 0 msg/s, received: 33699 msg/s, min/avg/max latency: 2097190/2808219/3329473 microseconds
time: 16.193s, sent: 2595 msg/s, confirmed: 2595 msg/s, nacked: 0 msg/s, received: 23729 msg/s, min/avg/max latency: 1943316/2770802/3593344 microseconds
time: 17.201s, sent: 2120 msg/s, confirmed: 2120 msg/s, nacked: 0 msg/s, received: 22075 msg/s, min/avg/max latency: 2402257/2914438/3559422 microseconds
time: 18.201s, sent: 3990 msg/s, confirmed: 3990 msg/s, nacked: 0 msg/s, received: 28733 msg/s, min/avg/max latency: 2526625/3066999/3753105 microseconds
time: 19.335s, sent: 1637 msg/s, confirmed: 1637 msg/s, nacked: 0 msg/s, received: 25305 msg/s, min/avg/max latency: 2134172/3115931/3597730 microseconds
time: 20.335s, sent: 3108 msg/s, confirmed: 3108 msg/s, nacked: 0 msg/s, received: 29902 msg/s, min/avg/max latency: 2150103/3161522/3705959 microseconds
time: 21.335s, sent: 3094 msg/s, confirmed: 3094 msg/s, nacked: 0 msg/s, received: 30670 msg/s, min/avg/max latency: 2342862/3214069/3704418 microseconds
time: 22.404s, sent: 1928 msg/s, confirmed: 1928 msg/s, nacked: 0 msg/s, received: 23859 msg/s, min/avg/max latency: 2306873/3060248/3614281 microseconds
time: 23.404s, sent: 3424 msg/s, confirmed: 3424 msg/s, nacked: 0 msg/s, received: 30265 msg/s, min/avg/max latency: 2106363/3047686/3541236 microseconds
time: 24.454s, sent: 2193 msg/s, confirmed: 2193 msg/s, nacked: 0 msg/s, received: 24941 msg/s, min/avg/max latency: 2250877/3025483/3551237 microseconds
time: 25.454s, sent: 3134 msg/s, confirmed: 3134 msg/s, nacked: 0 msg/s, received: 30336 msg/s, min/avg/max latency: 2229555/3096148/3804218 microseconds
time: 26.454s, sent: 2676 msg/s, confirmed: 2676 msg/s, nacked: 0 msg/s, received: 37343 msg/s, min/avg/max latency: 2328750/2850308/3612985 microseconds
time: 27.454s, sent: 3351 msg/s, confirmed: 3351 msg/s, nacked: 0 msg/s, received: 28692 msg/s, min/avg/max latency: 2028578/2602501/3369338 microseconds
time: 28.454s, sent: 2231 msg/s, confirmed: 2231 msg/s, nacked: 0 msg/s, received: 28905 msg/s, min/avg/max latency: 1893967/2518136/3446589 microseconds
time: 29.454s, sent: 2669 msg/s, confirmed: 2669 msg/s, nacked: 0 msg/s, received: 26812 msg/s, min/avg/max latency: 1825413/2546163/3299630 microseconds
time: 30.529s, sent: 3636 msg/s, confirmed: 3636 msg/s, nacked: 0 msg/s, received: 24659 msg/s, min/avg/max latency: 1855605/2568479/3059208 microseconds
time: 31.697s, sent: 2294 msg/s, confirmed: 2294 msg/s, nacked: 0 msg/s, received: 23862 msg/s, min/avg/max latency: 2022013/2794776/3322069 microseconds
