starting consumer #0
starting producer #0
time: 1.000s, sent: 32772 msg/s, received: 30078 msg/s, min/avg/max latency: 2397/79018/126952 microseconds
time: 2.000s, sent: 33927 msg/s, received: 33171 msg/s, min/avg/max latency: 74693/99999/126404 microseconds
time: 3.000s, sent: 33268 msg/s, received: 33323 msg/s, min/avg/max latency: 75791/100862/124284 microseconds
time: 4.000s, sent: 33865 msg/s, received: 33307 msg/s, min/avg/max latency: 76559/100955/126571 microseconds
time: 5.000s, sent: 32551 msg/s, received: 33629 msg/s, min/avg/max latency: 76649/100258/125776 microseconds
time: 6.000s, sent: 32550 msg/s, received: 32451 msg/s, min/avg/max latency: 77876/104047/130608 microseconds
time: 7.000s, sent: 33506 msg/s, received: 32529 msg/s, min/avg/max latency: 79289/104526/132938 microseconds
time: 8.000s, sent: 31295 msg/s, received: 32154 msg/s, min/avg/max latency: 80117/105422/135993 microseconds
time: 9.000s, sent: 33927 msg/s, received: 32981 msg/s, min/avg/max latency: 76529/102064/128089 microseconds
time: 10.000s, sent: 30814 msg/s, received: 31950 msg/s, min/avg/max latency: 80086/105381/132324 microseconds
time: 11.000s, sent: 33927 msg/s, received: 33574 msg/s, min/avg/max latency: 77116/101190/129771 microseconds
time: 12.000s, sent: 33567 msg/s, received: 33804 msg/s, min/avg/max latency: 74394/99768/127776 microseconds
time: 13.000s, sent: 33926 msg/s, received: 33580 msg/s, min/avg/max latency: 73369/100613/131732 microseconds
time: 14.000s, sent: 34200 msg/s, received: 33950 msg/s, min/avg/max latency: 74380/100078/123233 microseconds
time: 15.000s, sent: 33593 msg/s, received: 33272 msg/s, min/avg/max latency: 78039/102260/128808 microseconds
time: 16.000s, sent: 32550 msg/s, received: 33597 msg/s, min/avg/max latency: 75776/101233/129460 microseconds
time: 17.000s, sent: 33926 msg/s, received: 33020 msg/s, min/avg/max latency: 76257/102743/133025 microseconds
time: 18.000s, sent: 32550 msg/s, received: 33237 msg/s, min/avg/max latency: 77093/101370/127131 microseconds
time: 19.000s, sent: 33568 msg/s, received: 33686 msg/s, min/avg/max latency: 74826/101376/127088 microseconds
time: 20.000s, sent: 33926 msg/s, received: 33409 msg/s, min/avg/max latency: 74864/100920/129593 microseconds
time: 21.000s, sent: 33926 msg/s, received: 33405 msg/s, min/avg/max latency: 77037/101875/126536 microseconds
time: 22.000s, sent: 32550 msg/s, received: 33191 msg/s, min/avg/max latency: 78284/101962/125619 microseconds
time: 23.000s, sent: 33867 msg/s, received: 33496 msg/s, min/avg/max latency: 75651/100712/128792 microseconds
time: 24.000s, sent: 33074 msg/s, received: 33384 msg/s, min/avg/max latency: 76216/101673/128151 microseconds
time: 25.000s, sent: 34120 msg/s, received: 33614 msg/s, min/avg/max latency: 76237/101026/127192 microseconds
time: 26.000s, sent: 32550 msg/s, received: 33260 msg/s, min/avg/max latency: 74842/101235/138284 microseconds
time: 27.000s, sent: 32550 msg/s, received: 32809 msg/s, min/avg/max latency: 76513/103363/131813 microseconds
time: 28.000s, sent: 32550 msg/s, received: 32256 msg/s, min/avg/max latency: 76028/104460/131588 microseconds
time: 29.000s, sent: 33867 msg/s, received: 33405 msg/s, min/avg/max latency: 74895/101769/131255 microseconds
time: 30.000s, sent: 32251 msg/s, received: 32971 msg/s, min/avg/max latency: 76444/102184/129439 microseconds
time: 31.000s, sent: 33567 msg/s, received: 33205 msg/s, min/avg/max latency: 76776/101955/128718 microseconds
time: 32.000s, sent: 33567 msg/s, received: 33438 msg/s, min/avg/max latency: 76745/101240/131636 microseconds
