starting consumer #0
starting consumer #1
starting consumer #2
starting consumer #3
starting consumer #4
starting consumer #5
starting consumer #6
starting consumer #7
starting consumer #8
starting consumer #9
starting producer #0
starting producer #1
starting producer #2
starting producer #3
starting producer #4
starting producer #5
starting producer #6
starting producer #7
starting producer #8
starting producer #9
time: 1.000s, sent: 21378 msg/s, confirmed: 11378 msg/s, nacked: 0 msg/s, received: 81359 msg/s, min/avg/max latency: 3819/377126/740839 microseconds
time: 2.000s, sent: 13638 msg/s, confirmed: 13638 msg/s, nacked: 0 msg/s, received: 103857 msg/s, min/avg/max latency: 666679/993590/1228399 microseconds
time: 3.000s, sent: 11827 msg/s, confirmed: 11827 msg/s, nacked: 0 msg/s, received: 103885 msg/s, min/avg/max latency: 1062761/1314605/1508132 microseconds
time: 4.000s, sent: 11647 msg/s, confirmed: 11647 msg/s, nacked: 0 msg/s, received: 103866 msg/s, min/avg/max latency: 1228490/1515557/1747186 microseconds
time: 5.000s, sent: 10017 msg/s, confirmed: 10017 msg/s, nacked: 0 msg/s, received: 103887 msg/s, min/avg/max latency: 1315055/1656856/1887473 microseconds
time: 6.000s, sent: 8233 msg/s, confirmed: 8233 msg/s, nacked: 0 msg/s, received: 103895 msg/s, min/avg/max latency: 1404674/1790086/1994710 microseconds
time: 7.000s, sent: 9932 msg/s, confirmed: 9932 msg/s, nacked: 0 msg/s, received: 103854 msg/s, min/avg/max latency: 620372/1834991/2255349 microseconds
time: 8.000s, sent: 12030 msg/s, confirmed: 12030 msg/s, nacked: 0 msg/s, received: 103857 msg/s, min/avg/max latency: 432512/1665526/2258309 microseconds
time: 9.000s, sent: 5206 msg/s, confirmed: 5206 msg/s, nacked: 0 msg/s, received: 103807 msg/s, min/avg/max latency: 503812/1636353/2228951 microseconds
time: 10.000s, sent: 11363 msg/s, confirmed: 11363 msg/s, nacked: 0 msg/s, received: 103771 msg/s, min/avg/max latency: 424973/1505321/2672095 microseconds
time: 11.000s, sent: 10466 msg/s, confirmed: 10466 msg/s, nacked: 0 msg/s, received: 103852 msg/s, min/avg/max latency: 477548/1345069/2856819 microseconds
time: 12.000s, sent: 7036 msg/s, confirmed: 7036 msg/s, nacked: 0 msg/s, received: 103876 msg/s, min/avg/max latency: 599698/1427090/2650026 microseconds
time: 13.000s, sent: 13227 msg/s, confirmed: 13227 msg/s, nacked: 0 msg/s, received: 103836 msg/s, min/avg/max latency: 301117/1131880/2032007 microseconds
time: 14.000s, sent: 13630 msg/s, confirmed: 13630 msg/s, nacked: 0 msg/s, received: 103837 msg/s, min/avg/max latency: 289734/1056525/2044852 microseconds
