starting consumer #0
starting producer #0
time: 1.000s, sent: 5929 msg/s, confirmed: 5018 msg/s, nacked: 0 msg/s, received: 5068 msg/s, min/avg/max latency: 488/56210/139058 microseconds
time: 2.000s, sent: 6866 msg/s, confirmed: 6907 msg/s, nacked: 0 msg/s, received: 6950 msg/s, min/avg/max latency: 458/46762/117515 microseconds
time: 3.000s, sent: 6141 msg/s, confirmed: 6011 msg/s, nacked: 0 msg/s, received: 6591 msg/s, min/avg/max latency: 577/48961/97727 microseconds
time: 4.015s, sent: 6816 msg/s, confirmed: 7801 msg/s, nacked: 0 msg/s, received: 7138 msg/s, min/avg/max latency: 486/45823/105225 microseconds
time: 5.015s, sent: 7011 msg/s, confirmed: 6011 msg/s, nacked: 0 msg/s, received: 6725 msg/s, min/avg/max latency: 506/49326/101931 microseconds
time: 6.015s, sent: 7829 msg/s, confirmed: 7905 msg/s, nacked: 0 msg/s, received: 7256 msg/s, min/avg/max latency: 566/41334/182711 microseconds
time: 7.049s, sent: 5823 msg/s, confirmed: 6716 msg/s, nacked: 0 msg/s, received: 6653 msg/s, min/avg/max latency: 535/50182/111722 microseconds
time: 8.082s, sent: 6787 msg/s, confirmed: 6787 msg/s, nacked: 0 msg/s, received: 6787 msg/s, min/avg/max latency: 512/46817/101812 microseconds
time: 9.108s, sent: 6725 msg/s, confirmed: 6725 msg/s, nacked: 0 msg/s, received: 6725 msg/s, min/avg/max latency: 411/50684/111273 microseconds
time: 10.149s, sent: 6640 msg/s, confirmed: 6640 msg/s, nacked: 0 msg/s, received: 6640 msg/s, min/avg/max latency: 690/43123/146595 microseconds
time: 11.149s, sent: 7000 msg/s, confirmed: 7000 msg/s, nacked: 0 msg/s, received: 7000 msg/s, min/avg/max latency: 520/39552/86077 microseconds
time: 12.149s, sent: 5921 msg/s, confirmed: 4921 msg/s, nacked: 0 msg/s, received: 5731 msg/s, min/avg/max latency: 474/47751/383307 microseconds
time: 13.158s, sent: 4978 msg/s, confirmed: 5969 msg/s, nacked: 0 msg/s, received: 5166 msg/s, min/avg/max latency: 498/58490/107734 microseconds
time: 14.158s, sent: 6920 msg/s, confirmed: 5920 msg/s, nacked: 0 msg/s, received: 6063 msg/s, min/avg/max latency: 455/49510/142925 microseconds
time: 15.158s, sent: 6003 msg/s, confirmed: 6003 msg/s, nacked: 0 msg/s, received: 6481 msg/s, min/avg/max latency: 467/45163/107356 microseconds
time: 16.158s, sent: 5933 msg/s, confirmed: 5933 msg/s, nacked: 0 msg/s, received: 5773 msg/s, min/avg/max latency: 590/49747/137620 microseconds
time: 17.217s, sent: 5562 msg/s, confirmed: 6507 msg/s, nacked: 0 msg/s, received: 6071 msg/s, min/avg/max latency: 458/50841/154531 microseconds
time: 18.217s, sent: 7006 msg/s, confirmed: 6006 msg/s, nacked: 0 msg/s, received: 6623 msg/s, min/avg/max latency: 451/53519/134150 microseconds
time: 19.259s, sent: 6638 msg/s, confirmed: 7597 msg/s, nacked: 0 msg/s, received: 7005 msg/s, min/avg/max latency: 507/40968/115845 microseconds
time: 20.259s, sent: 7835 msg/s, confirmed: 6922 msg/s, nacked: 0 msg/s, received: 7016 msg/s, min/avg/max latency: 460/45364/108683 microseconds
time: 21.301s, sent: 5851 msg/s, confirmed: 6727 msg/s, nacked: 0 msg/s, received: 6637 msg/s, min/avg/max latency: 479/50180/116665 microseconds
time: 22.334s, sent: 6696 msg/s, confirmed: 6696 msg/s, nacked: 0 msg/s, received: 6696 msg/s, min/avg/max latency: 445/50600/122118 microseconds
